,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,0.00,0.50,0.75,1.25,48.19,0.0,0.00,68.9,-1211.444,74.05
,Mixed / non conventional,0.00,0.50,1.25,1.75,61.79,0.0,0.00,-90.8,-221.934,74.05
,Mixed / non conventional,0.00,0.50,1.75,2.25,71.65,0.1,0.00,13.4,-85.777,74.05
,Mixed / non conventional,0.00,0.50,2.25,2.75,75.49,0.0,0.00,-18.7,-41.079,74.05
,Mixed / non conventional,0.00,0.50,2.75,3.25,78.44,0.0,0.00,14.7,-22.983,74.05
,Mixed / non conventional,0.00,0.50,3.25,3.75,86.96,0.0,0.00,-5.2,-15.289,74.05
,Mixed / non conventional,0.00,0.50,3.75,1.00,61.93,0.0,0.00,15.2,699.893,74.05
,Mixed / non conventional,0.00,0.50,1.00,1.50,57.46,0.0,0.00,22.2,-451.411,74.05
,Mixed / non conventional,0.00,0.50,1.50,2.00,68.25,0.0,0.00,-31.6,-134.061,74.05
,Mixed / non conventional,0.00,0.50,2.00,2.50,73.46,0.0,0.00,-23.9,-57.711,74.05
,Mixed / non conventional,0.00,0.50,2.50,3.00,79.60,0.1,0.00,-9.9,-24.478,57.96
,Mixed / non conventional,0.00,0.50,3.00,3.50,84.13,0.0,0.00,118.6,-14.782,57.96
,Mixed / non conventional,0.25,0.75,1.00,1.50,67.12,0.0,0.00,30.7,-1592.556,69.88
,Mixed / non conventional,0.25,0.75,1.50,2.00,69.93,0.0,0.00,-34.4,-237.013,69.88
,Mixed / non conventional,0.25,0.75,2.00,2.50,76.00,0.1,0.00,-23.5,-85.863,69.88
,Mixed / non conventional,0.25,0.75,2.50,3.00,84.68,0.0,0.00,-10.7,-43.487,69.88
,Mixed / non conventional,0.25,0.75,3.00,3.50,91.72,0.1,0.00,122.2,-25.363,69.88
,Mixed / non conventional,0.25,0.75,3.50,4.00,92.03,0.0,0.00,-65.0,-15.269,69.88
,Mixed / non conventional,0.25,0.75,4.00,1.25,68.27,0.1,0.00,64.3,728.151,69.88
,Mixed / non conventional,0.25,0.75,1.25,1.75,64.14,0.0,0.00,-93.9,-475.563,69.88
,Mixed / non conventional,0.25,0.75,1.75,2.25,73.20,0.0,0.00,16.2,-135.671,69.88
,Mixed / non conventional,0.25,0.75,2.25,2.75,79.04,0.1,0.00,-17.4,-58.598,69.88
,Mixed / non conventional,0.25,0.75,2.75,3.25,84.48,0.0,0.00,11.8,-23.037,51.40
,Mixed / non conventional,0.25,0.75,3.25,3.75,95.77,0.0,0.00,-12.6,-14.924,51.40
,Mixed / non conventional,0.50,1.00,1.25,1.75,59.30,0.0,0.00,-94.9,-1286.878,63.91
,Mixed / non conventional,0.50,1.00,1.75,2.25,69.07,0.0,0.00,18.4,-214.114,63.91
,Mixed / non conventional,0.50,1.00,2.25,2.75,77.91,0.0,0.00,-16.3,-80.507,63.91
,Mixed / non conventional,0.50,1.00,2.75,3.25,86.89,0.0,0.00,11.5,-40.811,63.91
,Mixed / non conventional,0.50,1.00,3.25,3.75,101.88,0.0,0.00,-14.1,-25.768,63.91
,Mixed / non conventional,0.50,1.00,3.75,4.25,99.39,0.1,0.00,-26.7,-15.083,63.91
,Mixed / non conventional,0.50,1.00,4.25,1.50,70.30,0.0,0.00,74.7,685.740,63.91
,Mixed / non conventional,0.50,1.00,1.50,2.00,65.63,0.0,0.00,-36.7,-445.037,63.91
,Mixed / non conventional,0.50,1.00,2.00,2.50,73.26,0.0,0.00,-23.7,-124.201,63.91
,Mixed / non conventional,0.50,1.00,2.50,3.00,85.52,0.0,0.00,-12.7,-57.993,63.91
,Mixed / non conventional,0.50,1.00,3.00,3.50,95.97,0.0,0.00,129.4,-25.046,49.19
,Mixed / non conventional,0.50,1.00,3.50,4.00,99.09,0.0,0.00,-68.1,-14.777,49.19
,Mixed / non conventional,0.75,1.25,1.50,2.00,69.46,0.1,0.00,-35.8,-1400.055,59.36
,Mixed / non conventional,0.75,1.25,2.00,2.50,70.09,0.0,0.00,-23.7,-201.826,59.36
,Mixed / non conventional,0.75,1.25,2.50,3.00,84.17,0.0,0.00,-13.6,-80.791,59.36
,Mixed / non conventional,0.75,1.25,3.00,3.50,98.08,0.0,0.00,131.0,-42.792,59.36
,Mixed / non conventional,0.75,1.25,3.50,4.00,104.51,0.0,0.00,-68.4,-24.550,59.36
,Mixed / non conventional,0.75,1.25,4.00,4.50,107.70,0.1,0.00,-32.0,-15.180,59.36
,Mixed / non conventional,0.75,1.25,4.50,1.75,72.42,0.1,0.00,0.1,656.175,59.36
,Mixed / non conventional,0.75,1.25,1.75,2.25,67.33,0.0,0.00,19.5,-424.090,59.36
,Mixed / non conventional,0.75,1.25,2.25,2.75,74.91,0.0,0.00,-16.0,-117.966,59.36
,Mixed / non conventional,0.75,1.25,2.75,3.25,87.23,0.0,0.00,10.4,-54.944,59.36
,Mixed / non conventional,0.75,1.25,3.25,3.75,105.81,0.0,0.00,-17.8,-25.870,46.08
,Mixed / non conventional,0.75,1.25,3.75,4.25,106.05,0.0,0.00,-24.9,-14.815,46.08
,Mixed / non conventional,1.00,1.50,1.75,2.25,60.32,0.0,0.00,22.8,-1134.008,55.37
,Mixed / non conventional,1.00,1.50,2.25,2.75,65.29,0.0,0.00,-15.3,-175.338,55.37
,Mixed / non conventional,1.00,1.50,2.75,3.25,80.45,0.0,0.00,10.0,-72.018,55.37
,Mixed / non conventional,1.00,1.50,3.25,3.75,102.05,0.0,0.00,-18.7,-41.527,55.37
,Mixed / non conventional,1.00,1.50,3.75,4.25,105.96,0.1,0.00,-23.9,-23.218,55.37
,Mixed / non conventional,1.00,1.50,4.25,4.75,112.43,0.0,0.00,9.8,-14.780,55.37
,Mixed / non conventional,1.00,1.50,4.75,2.00,69.02,0.0,0.00,28.1,583.264,55.37
,Mixed / non conventional,1.00,1.50,2.00,2.50,61.78,0.0,0.00,-23.4,-362.943,55.37
,Mixed / non conventional,1.00,1.50,2.50,3.00,75.37,0.0,0.00,-14.5,-110.703,55.37
,Mixed / non conventional,1.00,1.50,3.00,3.50,92.56,0.0,0.00,133.6,-54.380,55.37
,Mixed / non conventional,1.00,1.50,3.50,4.00,102.69,0.1,0.00,-70.3,-24.046,44.14
,Mixed / non conventional,1.00,1.50,4.00,4.50,108.90,0.0,0.00,-32.4,-14.572,44.14
,Mixed / non conventional,1.25,1.75,2.00,2.50,62.32,0.0,0.00,-26.4,-1180.791,55.81
,Mixed / non conventional,1.25,1.75,2.50,3.00,65.78,0.0,0.00,-15.4,-178.067,55.81
,Mixed / non conventional,1.25,1.75,3.00,3.50,84.38,0.1,0.00,135.7,-76.139,55.81
,Mixed / non conventional,1.25,1.75,3.50,4.00,97.88,0.0,0.00,-70.5,-40.143,55.81
,Mixed / non conventional,1.25,1.75,4.00,4.50,107.04,0.0,0.00,-32.2,-23.638,55.81
,Mixed / non conventional,1.25,1.75,4.50,5.00,111.59,0.0,0.00,2.2,-14.786,55.81
,Mixed / non conventional,1.25,1.75,5.00,2.25,65.69,0.0,0.00,18.8,559.474,55.81
,Mixed / non conventional,1.25,1.75,2.25,2.75,57.70,0.0,0.00,-15.4,-341.637,55.81
,Mixed / non conventional,1.25,1.75,2.75,3.25,71.52,0.0,0.00,9.2,-105.868,55.81
,Mixed / non conventional,1.25,1.75,3.25,3.75,95.26,0.0,0.00,-20.9,-56.405,55.81
,Mixed / non conventional,1.25,1.75,3.75,4.25,102.65,0.0,0.00,-22.6,-23.606,43.35
,Mixed / non conventional,1.25,1.75,4.25,4.75,111.58,0.1,0.00,10.0,-14.663,43.35
,Mixed / non conventional,1.50,2.00,2.25,2.75,52.84,0.0,0.00,-15.8,-973.162,54.24
,Mixed / non conventional,1.50,2.00,2.75,3.25,61.06,0.0,0.00,8.8,-160.655,54.24
,Mixed / non conventional,1.50,2.00,3.25,3.75,85.94,0.0,0.00,-22.7,-75.374,54.24
,Mixed / non conventional,1.50,2.00,3.75,4.25,97.18,0.0,0.00,-21.8,-38.741,54.24
,Mixed / non conventional,1.50,2.00,4.25,4.75,108.96,0.0,0.00,10.4,-23.389,54.24
,Mixed / non conventional,1.50,2.00,4.75,5.25,114.95,0.0,0.00,27.1,-14.805,54.24
,Mixed / non conventional,1.50,2.00,5.25,2.50,64.83,0.0,0.00,-22.2,536.740,54.24
,Mixed / non conventional,1.50,2.00,2.50,3.00,56.16,0.0,0.00,-15.8,-323.239,54.24
,Mixed / non conventional,1.50,2.00,3.00,3.50,73.89,0.0,0.00,137.3,-106.313,54.24
,Mixed / non conventional,1.50,2.00,3.50,4.00,90.64,0.0,0.00,-71.5,-52.166,54.24
,Mixed / non conventional,1.50,2.00,4.00,4.50,103.11,0.0,0.00,-32.5,-24.010,43.89
,Mixed / non conventional,1.50,2.00,4.50,5.00,110.25,0.0,0.00,1.5,-14.669,43.89
,Mixed / non conventional,1.75,2.25,2.50,3.00,49.81,0.0,0.00,-13.8,-919.333,54.36
,Mixed / non conventional,1.75,2.25,3.00,3.50,62.26,0.0,0.00,138.8,-164.174,54.36
,Mixed / non conventional,1.75,2.25,3.50,4.00,80.71,0.0,0.00,-71.5,-70.936,54.36
,Mixed / non conventional,1.75,2.25,4.00,4.50,96.09,0.0,0.00,-32.3,-38.390,54.36
,Mixed / non conventional,1.75,2.25,4.50,5.00,106.05,0.1,0.00,1.8,-22.813,54.36
,Mixed / non conventional,1.75,2.25,5.00,5.50,113.57,0.0,0.00,93.9,-14.658,54.36
,Mixed / non conventional,1.75,2.25,5.50,2.75,61.28,0.0,0.00,-89.9,508.415,54.36
,Mixed / non conventional,1.75,2.25,2.75,3.25,51.37,0.0,0.00,9.3,-296.277,54.36
,Mixed / non conventional,1.75,2.25,3.25,3.75,74.18,0.0,0.00,-24.0,-106.970,54.36
,Mixed / non conventional,1.75,2.25,3.75,4.25,88.81,0.0,0.00,-21.2,-51.222,54.36
,Mixed / non conventional,1.75,2.25,4.25,4.75,103.16,0.0,0.00,10.5,-23.360,42.68
,Mixed / non conventional,1.75,2.25,4.75,5.25,111.83,0.1,0.00,27.0,-14.470,42.68
,Mixed / non conventional,2.00,2.50,2.75,3.25,43.18,0.0,0.00,11.4,-937.279,63.93
,Mixed / non conventional,2.00,2.50,3.25,3.75,59.40,0.0,0.00,-25.5,-184.187,63.93
,Mixed / non conventional,2.00,2.50,3.75,4.25,75.71,0.0,0.00,-20.1,-78.265,63.93
,Mixed / non conventional,2.00,2.50,4.25,4.75,92.06,0.1,0.00,10.8,-43.255,63.93
,Mixed / non conventional,2.00,2.50,4.75,5.25,103.06,0.0,0.00,27.3,-26.073,63.93
,Mixed / non conventional,2.00,2.50,5.25,5.75,98.18,0.0,0.00,-3.2,-14.904,63.93
,Mixed / non conventional,2.00,2.50,5.75,3.00,58.36,0.0,0.00,-36.1,569.422,63.93
,Mixed / non conventional,2.00,2.50,3.00,3.50,50.02,0.0,0.00,140.1,-339.281,63.93
,Mixed / non conventional,2.00,2.50,3.50,4.00,66.63,0.0,0.00,-72.2,-112.999,63.93
,Mixed / non conventional,2.00,2.50,4.00,4.50,84.11,0.0,0.00,-32.5,-57.053,63.93
,Mixed / non conventional,2.00,2.50,4.50,5.00,96.16,0.0,0.00,1.2,-23.210,45.50
,Mixed / non conventional,2.00,2.50,5.00,5.50,105.97,0.0,0.00,94.9,-14.615,45.50
,Mixed / non conventional,2.25,2.75,3.00,3.50,52.40,0.0,0.00,139.8,-621.557,34.94
,Mixed / non conventional,2.25,2.75,3.50,4.00,57.77,0.0,0.00,-72.8,-97.895,34.94
,Mixed / non conventional,2.25,2.75,4.00,4.50,76.37,0.0,0.00,-32.4,-43.142,34.94
,Mixed / non conventional,2.25,2.75,4.50,5.00,91.19,0.0,0.00,1.4,-23.414,34.94
,Mixed / non conventional,2.25,2.75,5.00,5.50,103.96,0.0,0.00,95.4,-14.373,34.94
,Mixed / non conventional,2.25,2.75,5.50,3.25,59.79,0.0,0.00,-81.4,313.854,34.94
,Mixed / non conventional,2.25,2.75,3.25,3.75,52.88,0.0,0.00,-26.6,-196.034,34.94
,Mixed / non conventional,2.25,2.75,3.75,4.25,67.07,0.0,0.00,-19.4,-62.162,34.94
,Mixed / non conventional,2.25,2.75,4.25,4.75,85.30,0.0,0.00,10.4,-31.622,34.94
,Mixed / non conventional,2.25,2.75,4.75,5.25,99.37,0.0,0.00,27.1,-18.418,34.94
,Mixed / non conventional,2.25,2.75,5.25,5.75,97.30,0.1,0.00,-4.6,-14.526,49.25
,Mixed / non conventional,2.50,3.00,3.25,3.75,50.07,0.1,0.00,-28.9,-660.843,38.87
,Mixed / non conventional,2.50,3.00,3.75,4.25,56.68,0.0,0.00,-18.9,-106.866,38.87
,Mixed / non conventional,2.50,3.00,4.25,4.75,76.01,0.0,0.00,10.9,-47.771,38.87
,Mixed / non conventional,2.50,3.00,4.75,5.25,93.00,0.1,0.00,27.2,-26.566,38.87
,Mixed / non conventional,2.50,3.00,5.25,5.75,94.39,0.0,0.00,-4.5,-14.519,38.87
,Mixed / non conventional,2.50,3.00,5.75,3.50,57.00,0.0,0.00,106.7,332.909,38.87
,Mixed / non conventional,2.50,3.00,3.50,4.00,49.24,0.0,0.00,-73.1,-203.058,38.87
,Mixed / non conventional,2.50,3.00,4.00,4.50,66.25,0.0,0.00,-32.5,-68.308,38.87
,Mixed / non conventional,2.50,3.00,4.50,5.00,83.43,0.1,0.00,1.0,-34.410,38.87
,Mixed / non conventional,2.50,3.00,5.00,5.50,99.27,0.1,0.00,95.5,-20.471,38.87
,Mixed / non conventional,2.75,3.25,3.50,4.00,48.86,0.0,0.00,-73.3,-509.651,30.72
,Mixed / non conventional,2.75,3.25,4.00,4.50,55.55,0.0,0.00,-32.8,-82.774,30.72
,Mixed / non conventional,2.75,3.25,4.50,5.00,72.79,0.0,0.00,1.2,-36.156,30.72
,Mixed / non conventional,2.75,3.25,5.00,5.50,90.96,0.0,0.00,96.1,-20.538,30.72
,Mixed / non conventional,2.75,3.25,5.50,3.75,54.90,0.0,0.00,-110.3,246.746,30.72
,Mixed / non conventional,2.75,3.25,3.75,4.25,48.85,0.0,0.00,-18.4,-159.227,30.72
,Mixed / non conventional,2.75,3.25,4.25,4.75,64.48,0.0,0.00,11.0,-52.545,30.72
,Mixed / non conventional,2.75,3.25,4.75,5.25,83.21,0.0,0.00,27.0,-27.124,30.72
,Mixed / non conventional,2.75,3.25,5.25,5.75,88.03,0.0,0.00,-5.0,-14.348,30.72
,Mixed / non conventional,3.00,3.50,3.75,4.25,51.15,0.0,0.00,-16.7,-385.072,22.17
,Mixed / non conventional,3.00,3.50,4.25,4.75,57.35,0.0,0.00,11.1,-61.687,22.17
,Mixed / non conventional,3.00,3.50,4.75,5.25,78.65,0.0,0.00,27.2,-28.197,22.17
,Mixed / non conventional,3.00,3.50,5.25,5.75,87.42,0.0,0.00,-4.8,-14.247,22.17
,Mixed / non conventional,3.00,3.50,5.75,4.00,57.91,0.0,0.00,33.1,187.873,22.17
,Mixed / non conventional,3.00,3.50,4.00,4.50,51.57,0.0,0.00,-32.0,-121.337,22.17
,Mixed / non conventional,3.00,3.50,4.50,5.00,66.78,0.0,0.00,1.3,-39.278,22.17
,Mixed / non conventional,3.00,3.50,5.00,5.50,88.64,0.0,0.00,96.3,-20.856,22.17
,Mixed / non conventional,3.25,3.75,4.00,4.50,45.63,0.0,0.00,-30.8,-261.170,16.86
,Mixed / non conventional,3.25,3.75,4.50,5.00,53.31,0.0,0.00,1.2,-43.588,16.86
,Mixed / non conventional,3.25,3.75,5.00,5.50,76.46,0.0,0.00,96.7,-20.840,16.86
,Mixed / non conventional,3.25,3.75,5.50,4.25,50.04,0.0,0.00,-130.7,117.193,16.86
,Mixed / non conventional,3.25,3.75,4.25,4.75,44.93,0.1,0.00,12.0,-80.367,16.86
,Mixed / non conventional,3.25,3.75,4.75,5.25,65.16,0.0,0.00,27.5,-29.133,16.86
,Mixed / non conventional,3.25,3.75,5.25,5.75,77.34,0.1,0.00,-4.9,-13.832,16.86
,Mixed / non conventional,3.50,4.00,4.25,4.75,37.87,0.0,0.00,13.3,-168.804,13.13
,Mixed / non conventional,3.50,4.00,4.75,5.25,50.36,0.0,0.00,27.3,-32.068,13.13
,Mixed / non conventional,3.50,4.00,5.25,5.75,63.99,0.0,0.00,-5.1,-13.583,13.13
,Mixed / non conventional,3.50,4.00,5.75,4.50,46.26,0.1,0.00,0.3,84.380,13.13
,Mixed / non conventional,3.50,4.00,4.50,5.00,40.97,0.0,0.00,1.8,-57.067,13.13
,Mixed / non conventional,3.50,4.00,5.00,5.50,61.42,0.0,0.00,97.1,-21.389,13.13
,Mixed / non conventional,3.75,4.25,4.50,5.00,37.49,0.1,0.00,0.0,-110.150,8.65
,Mixed / non conventional,3.75,4.25,5.00,5.50,52.24,0.0,0.00,96.6,-21.927,8.65
,Mixed / non conventional,3.75,4.25,5.50,4.75,43.57,0.1,0.00,-119.1,46.299,8.65
,Mixed / non conventional,3.75,4.25,4.75,5.25,42.42,0.1,0.00,27.1,-38.949,8.65
,Mixed / non conventional,3.75,4.25,5.25,5.75,55.59,0.0,0.00,-5.4,-12.762,8.65
,Mixed / non conventional,4.00,4.50,4.75,5.25,47.91,0.1,0.00,23.5,-80.999,4.98
,Mixed / non conventional,4.00,4.50,5.25,5.75,50.41,0.1,0.00,-6.3,-12.173,4.98
,Mixed / non conventional,4.00,4.50,5.75,5.00,51.90,0.1,0.00,3.5,31.728,4.98
,Mixed / non conventional,4.00,4.50,5.00,5.50,50.98,0.1,0.00,96.1,-26.931,4.98
,Mixed / non conventional,4.25,4.75,5.00,5.50,60.90,0.5,0.00,94.9,-62.695,3.03
,Mixed / non conventional,4.25,4.75,5.50,5.25,47.71,0.4,0.00,-92.5,10.744,3.03
,Mixed / non conventional,4.25,4.75,5.25,5.75,50.08,0.4,0.00,-6.4,-16.111,3.03
,Mixed / non conventional,4.50,5.00,5.25,5.75,46.79,0.6,0.00,-8.8,-17.080,1.08
